,Gr,Cl,Rt,Cf,Mg,0_out
0,0.1562,0.2098,0.1875,0.2545,0.192,0.0
1,0.159,0.1873,0.1519,0.2862,0.1378,0.0777
2,0.1635,0.1289,0.1698,0.305,0.1289,0.1038
3,0.1339,0.1396,0.1595,0.2906,0.1595,0.1168
4,0.134,0.1215,0.1371,0.3396,0.1246,0.1433
5,0.1393,0.1207,0.1579,0.3591,0.1207,0.1022
6,0.1178,0.1057,0.1511,0.3988,0.1027,0.1239
7,0.1509,0.0912,0.1226,0.4497,0.0912,0.0943
8,0.0845,0.1183,0.1239,0.4592,0.1014,0.1127
9,0.0927,0.1003,0.1128,0.4662,0.1128,0.1153
10,0.0944,0.0872,0.092,0.4964,0.1065,0.1235
11,0.0757,0.078,0.1111,0.5201,0.1087,0.1064
12,0.0724,0.0749,0.0853,0.5736,0.0801,0.1137
13,0.078,0.0757,0.0872,0.5573,0.1032,0.0986
14,0.0693,0.0647,0.0901,0.5727,0.0739,0.1293
15,0.0807,0.065,0.1166,0.5717,0.0695,0.0964
16,0.0763,0.0636,0.1059,0.5487,0.0975,0.1081
17,0.0828,0.0671,0.094,0.5749,0.0537,0.1275
18,0.0851,0.0709,0.0733,0.6005,0.0757,0.0946
19,0.0866,0.0736,0.1061,0.5693,0.0736,0.0909
20,0.0806,0.0786,0.1028,0.5665,0.0625,0.1089
21,0.0786,0.0637,0.0679,0.5987,0.0764,0.1146
22,0.0729,0.0875,0.0854,0.5979,0.0729,0.0833
23,0.081,0.0668,0.0628,0.6093,0.0628,0.1174
24,0.0814,0.0682,0.089,0.5833,0.0833,0.0947
25,0.0685,0.0722,0.0722,0.5944,0.0796,0.113
26,0.061,0.063,0.0728,0.6142,0.0728,0.1161
27,0.0746,0.0727,0.065,0.6252,0.088,0.0746
28,0.0746,0.0363,0.086,0.6291,0.0593,0.1147
29,0.0612,0.0673,0.0694,0.6653,0.0449,0.0918
30,0.0425,0.0694,0.0515,0.7092,0.0403,0.0872
31,0.0454,0.0691,0.0605,0.6933,0.0583,0.0734
32,0.0409,0.071,0.0387,0.6925,0.071,0.086
33,0.0545,0.0934,0.0642,0.6479,0.0681,0.072
34,0.03,0.0336,0.0495,0.5919,0.0495,0.0883
