,Gr,Cl,Rt,Cf,Mg,0_out
0,0.189,0.189,0.2205,0.2283,0.1732,0.0
1,0.1579,0.2105,0.1711,0.1974,0.1842,0.0789
2,0.1463,0.1463,0.1707,0.2439,0.1524,0.1402
3,0.1448,0.131,0.1793,0.2552,0.1241,0.1655
4,0.1888,0.1608,0.1678,0.2238,0.0909,0.1678
5,0.1667,0.1417,0.1833,0.1833,0.125,0.2
6,0.1376,0.2018,0.1927,0.1193,0.156,0.1927
7,0.1619,0.1524,0.1714,0.1524,0.181,0.181
8,0.1789,0.1053,0.1368,0.2211,0.1053,0.2526
9,0.1183,0.0645,0.1828,0.1935,0.1828,0.2581
10,0.1616,0.0909,0.2121,0.1818,0.1616,0.1919
11,0.1429,0.1327,0.1122,0.1735,0.1224,0.3163
12,0.1667,0.1444,0.1889,0.1333,0.2,0.1667
13,0.1359,0.1553,0.165,0.2233,0.1359,0.1845
14,0.1132,0.2264,0.1509,0.1509,0.1415,0.217
15,0.0638,0.1596,0.1809,0.2021,0.1596,0.234
16,0.12,0.24,0.15,0.24,0.12,0.13
17,0.1327,0.2212,0.1947,0.115,0.1062,0.2301
18,0.1071,0.2143,0.1696,0.125,0.1161,0.2679
19,0.1011,0.1124,0.2022,0.1124,0.2135,0.2584
20,0.1383,0.1383,0.234,0.1596,0.1489,0.1809
21,0.1205,0.1084,0.2169,0.1205,0.1446,0.2892
22,0.092,0.1724,0.2069,0.2414,0.1954,0.092
23,0.1224,0.1122,0.1531,0.2041,0.1531,0.2551
24,0.13,0.19,0.2,0.19,0.2,0.09
25,0.1413,0.1196,0.1522,0.1522,0.1522,0.2826
26,0.0778,0.1222,0.2222,0.1222,0.2333,0.2222
27,0.1047,0.0814,0.2326,0.1744,0.186,0.2209
28,0.0723,0.1566,0.253,0.1205,0.1807,0.2169
29,0.1807,0.2169,0.1928,0.1084,0.1566,0.1446
30,0.1622,0.0946,0.1622,0.0946,0.1757,0.3108
31,0.1186,0.1356,0.2034,0.1525,0.1017,0.2881
32,0.2097,0.1935,0.2097,0.1129,0.0968,0.1774
33,0.1757,0.2162,0.1486,0.1081,0.1622,0.1892
34,0.0602,0.1325,0.1084,0.0602,0.0843,0.2771
