,Gr,Cl,Rt,Cf,Mg,0_out
0,0.1731,0.1731,0.25,0.2179,0.1859,0.0
1,0.1905,0.1714,0.2143,0.2333,0.1286,0.0619
2,0.1734,0.1694,0.1694,0.2742,0.125,0.0887
3,0.1147,0.1398,0.1685,0.3011,0.1434,0.1326
4,0.1398,0.1147,0.1577,0.319,0.1219,0.147
5,0.1429,0.1061,0.1673,0.3347,0.1143,0.1347
6,0.1014,0.129,0.1382,0.3687,0.106,0.1567
7,0.1607,0.1071,0.1562,0.3438,0.1116,0.1205
8,0.1367,0.1328,0.1484,0.3125,0.1172,0.1523
9,0.0887,0.1008,0.1411,0.2903,0.1129,0.2661
10,0.1135,0.1514,0.1351,0.3081,0.1135,0.1784
11,0.1327,0.1564,0.1232,0.2986,0.128,0.1611
12,0.1,0.1,0.14,0.325,0.13,0.205
13,0.1455,0.0986,0.1878,0.3146,0.1174,0.1362
14,0.1267,0.1086,0.1403,0.3258,0.1041,0.1946
15,0.1159,0.1208,0.1449,0.3333,0.1208,0.1643
16,0.1221,0.108,0.1737,0.3146,0.0986,0.1831
17,0.1058,0.0913,0.1923,0.2933,0.1106,0.2067
18,0.0795,0.1307,0.1364,0.3295,0.0852,0.2386
19,0.089,0.089,0.1233,0.363,0.1301,0.2055
20,0.1,0.1,0.15,0.3286,0.1786,0.1429
21,0.1143,0.1543,0.1543,0.28,0.12,0.1771
22,0.1173,0.1543,0.1543,0.2469,0.0864,0.2407
23,0.1202,0.1421,0.1858,0.2623,0.1148,0.1749
24,0.1156,0.0983,0.1792,0.2717,0.1272,0.2081
25,0.1492,0.1215,0.1547,0.2376,0.1492,0.1878
26,0.1333,0.0848,0.1636,0.2667,0.103,0.2485
27,0.1361,0.1156,0.1156,0.2925,0.1769,0.1633
28,0.1136,0.1439,0.1364,0.2348,0.1136,0.2576
29,0.1438,0.183,0.1242,0.2288,0.1307,0.1895
30,0.1061,0.1288,0.1364,0.1894,0.0985,0.3409
31,0.1075,0.086,0.2151,0.1828,0.2258,0.1828
32,0.1091,0.1,0.2273,0.1818,0.1182,0.2636
33,0.1261,0.1513,0.1849,0.1849,0.1176,0.2353
34,0.1085,0.1473,0.0853,0.1395,0.0543,0.1705
