,Gr,Cl,Rt,Cf,Mg,New,s0,Sa,sA,sB,sC
0,26.0,32.0,30.0,40.0,32.0,0.0,0.0,160.0,55.0,48.0,57.0
0,35.0,47.0,42.0,57.0,43.0,64.0,0.0,224.0,80.0,78.0,66.0
0,45.0,53.0,43.0,81.0,39.0,59.0,22.0,261.0,92.0,88.0,103.0
0,52.0,41.0,54.0,97.0,41.0,57.0,55.0,285.0,130.0,111.0,99.0
0,47.0,49.0,56.0,102.0,56.0,66.0,96.0,310.0,142.0,141.0,123.0
0,43.0,39.0,44.0,109.0,40.0,11.0,142.0,275.0,144.0,128.0,145.0
0,45.0,39.0,51.0,116.0,39.0,48.0,175.0,290.0,159.0,156.0,150.0
0,39.0,35.0,50.0,132.0,34.0,41.0,216.0,290.0,174.0,164.0,168.0
0,48.0,29.0,39.0,143.0,29.0,28.0,246.0,288.0,176.0,190.0,168.0
0,30.0,42.0,44.0,163.0,36.0,67.0,286.0,315.0,198.0,188.0,215.0
0,37.0,40.0,45.0,186.0,45.0,84.0,332.0,353.0,218.0,248.0,219.0
0,39.0,36.0,38.0,205.0,44.0,60.0,383.0,362.0,252.0,242.0,251.0
0,32.0,33.0,47.0,220.0,46.0,61.0,428.0,378.0,284.0,261.0,261.0
0,28.0,29.0,33.0,222.0,31.0,9.0,472.0,343.0,282.0,277.0,256.0
0,34.0,33.0,38.0,243.0,45.0,93.0,515.0,393.0,313.0,277.0,318.0
0,30.0,28.0,39.0,248.0,32.0,40.0,571.0,377.0,313.0,338.0,297.0
0,36.0,29.0,52.0,255.0,31.0,69.0,614.0,403.0,364.0,325.0,328.0
0,36.0,30.0,50.0,259.0,46.0,69.0,665.0,421.0,365.0,373.0,348.0
0,37.0,30.0,42.0,257.0,24.0,26.0,722.0,390.0,399.0,376.0,337.0
0,36.0,30.0,31.0,254.0,32.0,33.0,762.0,383.0,391.0,373.0,381.0
0,40.0,34.0,49.0,263.0,34.0,79.0,804.0,420.0,378.0,445.0,401.0
0,40.0,39.0,51.0,281.0,31.0,76.0,858.0,442.0,431.0,444.0,425.0
0,37.0,30.0,32.0,282.0,36.0,29.0,912.0,417.0,454.0,443.0,432.0
0,35.0,42.0,41.0,287.0,35.0,63.0,952.0,440.0,439.0,466.0,487.0
0,40.0,33.0,31.0,301.0,31.0,54.0,1010.0,436.0,463.0,491.0,492.0
0,43.0,36.0,47.0,308.0,44.0,92.0,1060.0,478.0,541.0,505.0,492.0
0,37.0,39.0,39.0,321.0,43.0,62.0,1121.0,479.0,543.0,544.0,513.0
0,31.0,32.0,37.0,312.0,37.0,29.0,1180.0,449.0,549.0,516.0,564.0
0,39.0,38.0,34.0,327.0,46.0,74.0,1219.0,484.0,525.0,597.0,581.0
0,39.0,19.0,45.0,329.0,31.0,39.0,1279.0,463.0,582.0,554.0,606.0
0,30.0,33.0,34.0,326.0,22.0,27.0,1324.0,445.0,638.0,572.0,559.0
0,19.0,31.0,23.0,317.0,18.0,2.0,1363.0,408.0,592.0,612.0,567.0
0,21.0,32.0,28.0,321.0,27.0,55.0,1397.0,429.0,654.0,585.0,587.0
0,19.0,33.0,18.0,322.0,33.0,36.0,1437.0,425.0,621.0,626.0,615.0
0,28.0,48.0,33.0,333.0,35.0,89.0,1474.0,477.0,640.0,637.0,674.0
0,17.0,19.0,28.0,335.0,28.0,89.0,1524.0,427.0,636.0,647.0,668.0
