,Gr,Cl,Rt,Cf,Mg,New,s0,Sa,sA,sB,sC
0,25.0,32.0,26.0,24.0,23.0,0.0,0.0,130.0,41.0,39.0,50.0
0,27.0,27.0,39.0,34.0,29.0,26.0,0.0,156.0,58.0,54.0,44.0
0,40.0,36.0,45.0,49.0,27.0,54.0,13.0,197.0,69.0,69.0,72.0
0,43.0,42.0,42.0,68.0,31.0,51.0,35.0,226.0,86.0,93.0,82.0
0,32.0,39.0,47.0,84.0,40.0,53.0,72.0,242.0,107.0,119.0,88.0
0,39.0,32.0,44.0,89.0,34.0,37.0,113.0,238.0,113.0,117.0,121.0
0,35.0,26.0,41.0,82.0,28.0,7.0,146.0,212.0,122.0,124.0,112.0
0,22.0,28.0,30.0,80.0,23.0,5.0,180.0,183.0,115.0,108.0,140.0
0,36.0,24.0,35.0,77.0,25.0,41.0,207.0,197.0,135.0,140.0,129.0
0,35.0,34.0,38.0,80.0,30.0,59.0,246.0,217.0,142.0,150.0,171.0
0,22.0,25.0,35.0,72.0,28.0,31.0,312.0,182.0,139.0,177.0,178.0
0,21.0,28.0,25.0,57.0,21.0,3.0,345.0,152.0,163.0,157.0,177.0
0,28.0,33.0,26.0,63.0,27.0,59.0,379.0,177.0,180.0,205.0,171.0
0,20.0,20.0,28.0,65.0,26.0,23.0,420.0,159.0,193.0,189.0,197.0
0,31.0,21.0,40.0,67.0,25.0,54.0,449.0,184.0,219.0,217.0,197.0
0,28.0,24.0,31.0,72.0,23.0,37.0,492.0,178.0,227.0,217.0,226.0
0,24.0,25.0,30.0,69.0,25.0,29.0,526.0,173.0,233.0,233.0,233.0
0,26.0,23.0,37.0,67.0,21.0,40.0,565.0,174.0,253.0,235.0,251.0
0,22.0,19.0,40.0,61.0,23.0,34.0,608.0,165.0,256.0,255.0,262.0
0,14.0,23.0,24.0,58.0,15.0,11.0,650.0,134.0,281.0,262.0,241.0
0,13.0,13.0,18.0,53.0,19.0,12.0,680.0,116.0,275.0,254.0,267.0
0,14.0,14.0,21.0,46.0,25.0,24.0,700.0,120.0,312.0,234.0,274.0
0,20.0,27.0,27.0,49.0,21.0,55.0,731.0,144.0,295.0,286.0,294.0
0,19.0,25.0,25.0,40.0,14.0,18.0,770.0,123.0,307.0,294.0,292.0
0,22.0,26.0,34.0,48.0,21.0,60.0,802.0,151.0,338.0,311.0,304.0
0,20.0,17.0,31.0,47.0,22.0,22.0,838.0,137.0,314.0,318.0,343.0
0,27.0,22.0,28.0,43.0,27.0,44.0,872.0,147.0,328.0,347.0,344.0
0,22.0,14.0,27.0,44.0,17.0,18.0,913.0,124.0,316.0,362.0,359.0
0,20.0,17.0,17.0,43.0,26.0,23.0,937.0,123.0,339.0,366.0,355.0
0,15.0,19.0,18.0,31.0,15.0,9.0,971.0,98.0,362.0,349.0,358.0
0,22.0,28.0,19.0,35.0,20.0,55.0,1000.0,124.0,376.0,383.0,365.0
0,14.0,17.0,18.0,25.0,13.0,8.0,1045.0,87.0,377.0,374.0,381.0
0,10.0,8.0,20.0,17.0,21.0,6.0,1062.0,76.0,380.0,394.0,364.0
0,12.0,11.0,25.0,20.0,13.0,34.0,1091.0,81.0,380.0,378.0,414.0
0,15.0,18.0,22.0,22.0,14.0,38.0,1119.0,91.0,386.0,421.0,403.0
0,14.0,19.0,11.0,18.0,7.0,38.0,1141.0,69.0,413.0,397.0,400.0
