,Gr,Cl,Rt,Cf,Mg,New,s0,Sa,sA,sB,sC
0,16.0,18.0,24.0,16.0,26.0,0.0,0.0,100.0,40.0,33.0,27.0
0,29.0,41.0,38.0,29.0,24.0,61.0,0.0,161.0,60.0,60.0,41.0
0,33.0,26.0,34.0,25.0,24.0,3.0,22.0,142.0,53.0,51.0,60.0
0,39.0,40.0,44.0,36.0,33.0,65.0,37.0,192.0,94.0,68.0,67.0
0,28.0,25.0,31.0,38.0,30.0,1.0,78.0,152.0,89.0,73.0,68.0
0,41.0,32.0,36.0,53.0,33.0,61.0,96.0,195.0,98.0,94.0,99.0
0,20.0,23.0,40.0,71.0,27.0,30.0,140.0,181.0,108.0,123.0,90.0
0,33.0,35.0,44.0,98.0,33.0,86.0,164.0,243.0,124.0,144.0,139.0
0,31.0,21.0,39.0,104.0,28.0,30.0,214.0,223.0,137.0,153.0,147.0
0,29.0,29.0,33.0,109.0,31.0,43.0,249.0,231.0,161.0,164.0,155.0
0,36.0,51.0,39.0,130.0,38.0,98.0,284.0,294.0,196.0,191.0,191.0
0,35.0,29.0,43.0,137.0,29.0,33.0,338.0,273.0,217.0,169.0,225.0
0,34.0,26.0,37.0,156.0,34.0,57.0,381.0,287.0,224.0,206.0,238.0
0,30.0,31.0,37.0,169.0,37.0,60.0,424.0,304.0,241.0,258.0,229.0
0,35.0,47.0,36.0,182.0,49.0,88.0,467.0,349.0,308.0,263.0,245.0
0,35.0,26.0,41.0,175.0,35.0,27.0,531.0,312.0,275.0,281.0,287.0
0,30.0,22.0,30.0,180.0,23.0,20.0,578.0,285.0,268.0,299.0,296.0
0,23.0,25.0,23.0,174.0,26.0,21.0,613.0,271.0,293.0,289.0,302.0
0,14.0,20.0,20.0,173.0,25.0,11.0,643.0,252.0,320.0,309.0,266.0
0,30.0,31.0,30.0,182.0,35.0,87.0,674.0,308.0,331.0,346.0,305.0
0,39.0,33.0,33.0,194.0,31.0,78.0,730.0,330.0,356.0,336.0,368.0
0,29.0,20.0,28.0,190.0,30.0,12.0,775.0,297.0,353.0,390.0,329.0
0,31.0,26.0,38.0,184.0,28.0,45.0,810.0,307.0,354.0,390.0,373.0
0,27.0,33.0,48.0,188.0,36.0,64.0,849.0,332.0,391.0,375.0,415.0
0,33.0,39.0,53.0,195.0,42.0,78.0,897.0,362.0,412.0,444.0,403.0
0,34.0,43.0,40.0,205.0,32.0,47.0,952.0,354.0,441.0,403.0,462.0
0,28.0,34.0,31.0,208.0,31.0,22.0,996.0,332.0,468.0,433.0,427.0
0,43.0,46.0,49.0,216.0,30.0,92.0,1036.0,384.0,469.0,479.0,472.0
0,19.0,29.0,31.0,217.0,31.0,9.0,1102.0,327.0,469.0,495.0,465.0
0,30.0,29.0,35.0,219.0,22.0,43.0,1137.0,335.0,513.0,468.0,491.0
0,25.0,29.0,31.0,225.0,27.0,44.0,1179.0,337.0,486.0,498.0,532.0
0,34.0,22.0,39.0,229.0,25.0,44.0,1211.0,349.0,527.0,525.0,508.0
0,34.0,45.0,45.0,251.0,31.0,100.0,1254.0,406.0,594.0,534.0,532.0
0,36.0,34.0,45.0,253.0,26.0,45.0,1311.0,394.0,537.0,600.0,568.0
0,34.0,27.0,36.0,247.0,30.0,34.0,1365.0,374.0,574.0,589.0,576.0
0,20.0,22.0,26.0,241.0,15.0,34.0,1415.0,324.0,579.0,570.0,590.0
